"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1950,"1949-10-12","Boston Bruins","1","Detroit Red Wings","2","","","","",0
1950,"1949-10-13","Chicago Black Hawks","0","Montreal Canadiens","4","","","","",0
1950,"1949-10-15","New York Rangers","1","Montreal Canadiens","3","","","","",0
1950,"1949-10-15","Chicago Black Hawks","4","Toronto Maple Leafs","4","","","","",0
1950,"1949-10-16","New York Rangers","2","Boston Bruins","2","","","","",0
1950,"1949-10-16","Toronto Maple Leafs","5","Detroit Red Wings","1","","","","",0
1950,"1949-10-19","Chicago Black Hawks","4","Boston Bruins","7","","","","",0
1950,"1949-10-19","New York Rangers","1","Detroit Red Wings","6","","","","",0
1950,"1949-10-19","Montreal Canadiens","3","Toronto Maple Leafs","1","","","","",0
1950,"1949-10-22","Boston Bruins","2","Montreal Canadiens","1","","","","",0
1950,"1949-10-22","New York Rangers","2","Toronto Maple Leafs","2","","","","",0
1950,"1949-10-23","Montreal Canadiens","0","Boston Bruins","0","","","","",0
1950,"1949-10-23","Chicago Black Hawks","3","Detroit Red Wings","3","","","","",0
1950,"1949-10-25","New York Rangers","2","Chicago Black Hawks","1","","","","",0
1950,"1949-10-26","Boston Bruins","2","New York Rangers","5","","","","",0
1950,"1949-10-27","Detroit Red Wings","3","Chicago Black Hawks","1","","","","",0
1950,"1949-10-27","Toronto Maple Leafs","2","Montreal Canadiens","0","","","","",0
1950,"1949-10-29","Detroit Red Wings","1","Montreal Canadiens","0","","","","",0
1950,"1949-10-29","Chicago Black Hawks","2","New York Rangers","0","","","","",0
1950,"1949-10-29","Boston Bruins","1","Toronto Maple Leafs","8","","","","",0
1950,"1949-10-30","Boston Bruins","4","Chicago Black Hawks","10","","","","",0
1950,"1949-10-30","Montreal Canadiens","4","Detroit Red Wings","1","","","","",0
1950,"1949-10-30","Toronto Maple Leafs","4","New York Rangers","2","","","","",0
1950,"1949-11-02","Montreal Canadiens","1","Chicago Black Hawks","4","","","","",0
1950,"1949-11-02","Boston Bruins","3","Detroit Red Wings","5","","","","",0
1950,"1949-11-02","New York Rangers","3","Toronto Maple Leafs","3","","","","",0
1950,"1949-11-05","Boston Bruins","3","Montreal Canadiens","3","","","","",0
1950,"1949-11-05","Detroit Red Wings","4","Toronto Maple Leafs","3","","","","",0
1950,"1949-11-06","Toronto Maple Leafs","4","Chicago Black Hawks","2","","","","",0
1950,"1949-11-06","New York Rangers","0","Detroit Red Wings","7","","","","",0
1950,"1949-11-09","Chicago Black Hawks","3","Boston Bruins","1","","","","",0
1950,"1949-11-09","Montreal Canadiens","2","New York Rangers","2","","","","",0
1950,"1949-11-10","Toronto Maple Leafs","2","Montreal Canadiens","4","","","","",0
1950,"1949-11-12","Detroit Red Wings","7","Boston Bruins","5","","","","",0
1950,"1949-11-12","Montreal Canadiens","5","New York Rangers","3","","","","",0
1950,"1949-11-12","Chicago Black Hawks","0","Toronto Maple Leafs","4","","","","",0
1950,"1949-11-13","Toronto Maple Leafs","2","Boston Bruins","4","","","","",0
1950,"1949-11-13","Montreal Canadiens","0","Chicago Black Hawks","0","","","","",0
1950,"1949-11-13","Detroit Red Wings","1","New York Rangers","1","","","","",0
1950,"1949-11-16","Chicago Black Hawks","1","Detroit Red Wings","4","","","","",0
1950,"1949-11-16","Boston Bruins","1","New York Rangers","2","","","","",0
1950,"1949-11-16","Montreal Canadiens","0","Toronto Maple Leafs","1","","","","",0
1950,"1949-11-17","Boston Bruins","3","Chicago Black Hawks","8","","","","",0
1950,"1949-11-19","Detroit Red Wings","5","Toronto Maple Leafs","2","","","","",0
1950,"1949-11-20","Montreal Canadiens","1","Boston Bruins","2","","","","",0
1950,"1949-11-20","New York Rangers","5","Chicago Black Hawks","2","","","","",0
1950,"1949-11-20","Toronto Maple Leafs","2","Detroit Red Wings","5","","","","",0
1950,"1949-11-23","Toronto Maple Leafs","1","Boston Bruins","3","","","","",0
1950,"1949-11-23","New York Rangers","3","Detroit Red Wings","4","","","","",0
1950,"1949-11-24","Detroit Red Wings","3","Chicago Black Hawks","3","","","","",0
1950,"1949-11-24","Toronto Maple Leafs","3","Montreal Canadiens","5","","","","",0
1950,"1949-11-26","Chicago Black Hawks","7","Detroit Red Wings","2","","","","",0
1950,"1949-11-26","New York Rangers","1","Montreal Canadiens","5","","","","",0
1950,"1949-11-26","Boston Bruins","3","Toronto Maple Leafs","3","","","","",0
1950,"1949-11-27","New York Rangers","1","Boston Bruins","1","","","","",0
1950,"1949-11-27","Toronto Maple Leafs","3","Chicago Black Hawks","6","","","","",0
1950,"1949-11-27","Montreal Canadiens","6","Detroit Red Wings","2","","","","",0
1950,"1949-11-30","Boston Bruins","0","Detroit Red Wings","3","","","","",0
1950,"1949-11-30","Montreal Canadiens","2","New York Rangers","5","","","","",0
1950,"1949-12-01","Boston Bruins","4","Chicago Black Hawks","5","","","","",0
1950,"1949-12-01","Detroit Red Wings","2","Toronto Maple Leafs","0","","","","",0
1950,"1949-12-03","Chicago Black Hawks","3","Boston Bruins","5","","","","",0
1950,"1949-12-03","Detroit Red Wings","5","Montreal Canadiens","3","","","","",0
1950,"1949-12-03","New York Rangers","0","Toronto Maple Leafs","2","","","","",0
1950,"1949-12-04","Montreal Canadiens","2","Boston Bruins","4","","","","",0
1950,"1949-12-04","Toronto Maple Leafs","2","Detroit Red Wings","1","","","","",0
1950,"1949-12-04","Chicago Black Hawks","0","New York Rangers","4","","","","",0
1950,"1949-12-07","Detroit Red Wings","2","Boston Bruins","1","","","","",0
1950,"1949-12-07","Chicago Black Hawks","1","New York Rangers","2","","","","",0
