season,sport,Team1,Team2,Round,Real,SeriesPrice
2017,nba,Boston Celtics,Chicago Bulls,Eastern Conf First Round,1,0.82
2017,nba,Cleveland Cavaliers,Indiana Pacers,Eastern Conf First Round,1,0.91
2017,nba,Toronto Raptors,Milwaukee Bucks,Eastern Conf First Round,1,0.77
2017,nba,Washington Wizards,Atlanta Hawks,Eastern Conf First Round,1,0.66
2017,nba,Golden State Warriors,Portland Trail Blazers,Western Conf First Round,1,0.98
2017,nba,San Antonio Spurs,Memphis Grizzlies,Western Conf First Round,1,0.9
2017,nba,Houston Rockets,Oklahoma City Thunder,Western Conf First Round,1,0.77
2017,nba,Los Angeles Clippers,Utah Jazz,Western Conf First Round,1,0.67
2017,nba,Cleveland Cavaliers,Toronto Raptors,Eastern Conf Semifinals,2,0.82
2017,nba,Boston Celtics,Washington Wizards,Eastern Conf Semifinals,2,0.76
2017,nba,Golden State Warriors,Utah Jazz,Western Conf Semifinals,2,0.91
2017,nba,San Antonio Spurs,Houston Rockets,Western Conf Semifinals,2,0.71
2017,nba,Golden State Warriors,San Antonio Spurs,Western Conf Finals,3,0.9
2017,nba,Cleveland Cavaliers,Boston Celtics,Eastern Conf Finals,3,0.82
2017,nba,Golden State Warriors,Cleveland Cavaliers,Finals,4,0.72
2016,nba,Cleveland Cavaliers,Detroit Pistons,Eastern Conf First Round,1,
2016,nba,Toronto Raptors,Indiana Pacers,Eastern Conf First Round,1,
2016,nba,Miami Heat,Charlotte Hornets,Eastern Conf First Round,1,
2016,nba,Atlanta Hawks,Boston Celtics,Eastern Conf First Round,1,
2016,nba,Golden State Warriors,Houston Rockets,Western Conf First Round,1,
2016,nba,San Antonio Spurs,Memphis Grizzlies,Western Conf First Round,1,
2016,nba,Oklahoma City Thunder,Dallas Mavericks,Western Conf First Round,1,
2016,nba,Portland Trail Blazers,Los Angeles Clippers,Western Conf First Round,1,
2016,nba,Cleveland Cavaliers,Atlanta Hawks,Eastern Conf Semifinals,2,
2016,nba,Toronto Raptors,Miami Heat,Eastern Conf Semifinals,2,
2016,nba,Golden State Warriors,Portland Trail Blazers,Western Conf Semifinals,2,
2016,nba,Oklahoma City Thunder,San Antonio Spurs,Western Conf Semifinals,2,
2016,nba,Cleveland Cavaliers,Toronto Raptors,Eastern Conf Finals,3,
2016,nba,Golden State Warriors,Oklahoma City Thunder,Western Conf Finals,3,
2016,nba,Cleveland Cavaliers,Golden State Warriors,Finals,4,
2015,nba,Atlanta Hawks,Brooklyn Nets,Eastern Conf First Round,1,
2015,nba,Cleveland Cavaliers,Boston Celtics,Eastern Conf First Round,1,
2015,nba,Chicago Bulls,Milwaukee Bucks,Eastern Conf First Round,1,
2015,nba,Washington Wizards,Toronto Raptors,Eastern Conf First Round,1,
2015,nba,Golden State Warriors,New Orleans Pelicans,Western Conf First Round,1,
2015,nba,Houston Rockets,Dallas Mavericks,Western Conf First Round,1,
2015,nba,Los Angeles Clippers,San Antonio Spurs,Western Conf First Round,1,
2015,nba,Memphis Grizzlies,Portland Trail Blazers,Western Conf First Round,1,
2015,nba,Cleveland Cavaliers,Chicago Bulls,Eastern Conf Semifinals,2,
2015,nba,Atlanta Hawks,Washington Wizards,Eastern Conf Semifinals,2,
2015,nba,Houston Rockets,Los Angeles Clippers,Western Conf Semifinals,2,
2015,nba,Golden State Warriors,Memphis Grizzlies,Western Conf Semifinals,2,
2015,nba,Cleveland Cavaliers,Atlanta Hawks,Eastern Conf Finals,3,
2015,nba,Golden State Warriors,Houston Rockets,Western Conf Finals,3,
2015,nba,Golden State Warriors,Cleveland Cavaliers,Finals,4,
2014,nba,Indiana Pacers,Atlanta Hawks,Eastern Conf First Round,1,
2014,nba,Miami Heat,Charlotte Hornets,Eastern Conf First Round,1,
2014,nba,Brooklyn Nets,Toronto Raptors,Eastern Conf First Round,1,
2014,nba,Washington Wizards,Chicago Bulls,Eastern Conf First Round,1,
2014,nba,San Antonio Spurs,Dallas Mavericks,Western Conf First Round,1,
2014,nba,Oklahoma City Thunder,Memphis Grizzlies,Western Conf First Round,1,
2014,nba,Los Angeles Clippers,Golden State Warriors,Western Conf First Round,1,
2014,nba,Portland Trail Blazers,Houston Rockets,Western Conf First Round,1,
2014,nba,Indiana Pacers,Washington Wizards,Eastern Conf Semifinals,2,
2014,nba,Miami Heat,Brooklyn Nets,Eastern Conf Semifinals,2,
2014,nba,San Antonio Spurs,Portland Trail Blazers,Western Conf Semifinals,2,
2014,nba,Oklahoma City Thunder,Los Angeles Clippers,Western Conf Semifinals,2,
2014,nba,Miami Heat,Indiana Pacers,Eastern Conf Finals,3,
2014,nba,San Antonio Spurs,Oklahoma City Thunder,Western Conf Finals,3,
2014,nba,San Antonio Spurs,Miami Heat,Finals,4,
2013,nba,Miami Heat,Milwaukee Bucks,Eastern Conf First Round,1,
2013,nba,New York Knicks,Boston Celtics,Eastern Conf First Round,1,
2013,nba,Indiana Pacers,Atlanta Hawks,Eastern Conf First Round,1,
2013,nba,Chicago Bulls,Brooklyn Nets,Eastern Conf First Round,1,
2013,nba,Oklahoma City Thunder,Houston Rockets,Western Conf First Round,1,
2013,nba,San Antonio Spurs,Los Angeles Lakers,Western Conf First Round,1,
2013,nba,Golden State Warriors,Denver Nuggets,Western Conf First Round,1,
2013,nba,Memphis Grizzlies,Los Angeles Clippers,Western Conf First Round,1,
2013,nba,Miami Heat,Chicago Bulls,Eastern Conf Semifinals,2,
2013,nba,Indiana Pacers,New York Knicks,Eastern Conf Semifinals,2,
2013,nba,Memphis Grizzlies,Oklahoma City Thunder,Western Conf Semifinals,2,
2013,nba,San Antonio Spurs,Golden State Warriors,Western Conf Semifinals,2,
2013,nba,Miami Heat,Indiana Pacers,Eastern Conf Finals,3,
2013,nba,San Antonio Spurs,Memphis Grizzlies,Western Conf Finals,3,
2013,nba,Miami Heat,San Antonio Spurs,Finals,4,
2012,nba,Philadelphia 76ers,Chicago Bulls,Eastern Conf First Round,1,
2012,nba,Miami Heat,New York Knicks,Eastern Conf First Round,1,
2012,nba,Indiana Pacers,Orlando Magic,Eastern Conf First Round,1,
2012,nba,Boston Celtics,Atlanta Hawks,Eastern Conf First Round,1,
2012,nba,San Antonio Spurs,Utah Jazz,Western Conf First Round,1,
2012,nba,Oklahoma City Thunder,Dallas Mavericks,Western Conf First Round,1,
2012,nba,Los Angeles Lakers,Denver Nuggets,Western Conf First Round,1,
2012,nba,Los Angeles Clippers,Memphis Grizzlies,Western Conf First Round,1,
2012,nba,Miami Heat,Indiana Pacers,Eastern Conf Semifinals,2,
2012,nba,Boston Celtics,Philadelphia 76ers,Eastern Conf Semifinals,2,
2012,nba,San Antonio Spurs,Los Angeles Clippers,Western Conf Semifinals,2,
2012,nba,Oklahoma City Thunder,Los Angeles Lakers,Western Conf Semifinals,2,
2012,nba,Oklahoma City Thunder,San Antonio Spurs,Western Conf Finals,3,
2012,nba,Miami Heat,Boston Celtics,Eastern Conf Finals,3,
2012,nba,Miami Heat,Oklahoma City Thunder,Finals,4,
2011,nba,Chicago Bulls,Indiana Pacers,Eastern Conf First Round,1,
2011,nba,Miami Heat,Philadelphia 76ers,Eastern Conf First Round,1,
2011,nba,Boston Celtics,New York Knicks,Eastern Conf First Round,1,
2011,nba,Atlanta Hawks,Orlando Magic,Eastern Conf First Round,1,
2011,nba,Memphis Grizzlies,San Antonio Spurs,Western Conf First Round,1,
2011,nba,Los Angeles Lakers,New Orleans Pelicans,Western Conf First Round,1,
2011,nba,Dallas Mavericks,Portland Trail Blazers,Western Conf First Round,1,
2011,nba,Oklahoma City Thunder,Denver Nuggets,Western Conf First Round,1,
2011,nba,Chicago Bulls,Atlanta Hawks,Eastern Conf Semifinals,2,
2011,nba,Miami Heat,Boston Celtics,Eastern Conf Semifinals,2,
2011,nba,Dallas Mavericks,Los Angeles Lakers,Western Conf Semifinals,2,
2011,nba,Oklahoma City Thunder,Memphis Grizzlies,Western Conf Semifinals,2,
2011,nba,Miami Heat,Chicago Bulls,Eastern Conf Finals,3,
2011,nba,Dallas Mavericks,Oklahoma City Thunder,Western Conf Finals,3,
2011,nba,Dallas Mavericks,Miami Heat,Finals,4,
2010,nba,Cleveland Cavaliers,Chicago Bulls,Eastern Conf First Round,1,
2010,nba,Orlando Magic,Charlotte Hornets,Eastern Conf First Round,1,
2010,nba,Atlanta Hawks,Milwaukee Bucks,Eastern Conf First Round,1,
2010,nba,Boston Celtics,Miami Heat,Eastern Conf First Round,1,
2010,nba,Los Angeles Lakers,Oklahoma City Thunder,Western Conf First Round,1,
2010,nba,San Antonio Spurs,Dallas Mavericks,Western Conf First Round,1,
2010,nba,Phoenix Suns,Portland Trail Blazers,Western Conf First Round,1,
2010,nba,Utah Jazz,Denver Nuggets,Western Conf First Round,1,
2010,nba,Boston Celtics,Cleveland Cavaliers,Eastern Conf Semifinals,2,
2010,nba,Orlando Magic,Atlanta Hawks,Eastern Conf Semifinals,2,
2010,nba,Los Angeles Lakers,Utah Jazz,Western Conf Semifinals,2,
2010,nba,Phoenix Suns,San Antonio Spurs,Western Conf Semifinals,2,
2010,nba,Los Angeles Lakers,Phoenix Suns,Western Conf Finals,3,
2010,nba,Boston Celtics,Orlando Magic,Eastern Conf Finals,3,
2010,nba,Los Angeles Lakers,Boston Celtics,Finals,4,
2009,nba,Cleveland Cavaliers,Detroit Pistons,Eastern Conf First Round,1,
2009,nba,Boston Celtics,Chicago Bulls,Eastern Conf First Round,1,
2009,nba,Orlando Magic,Philadelphia 76ers,Eastern Conf First Round,1,
2009,nba,Atlanta Hawks,Miami Heat,Eastern Conf First Round,1,
2009,nba,Los Angeles Lakers,Utah Jazz,Western Conf First Round,1,
2009,nba,Denver Nuggets,New Orleans Pelicans,Western Conf First Round,1,
2009,nba,Dallas Mavericks,San Antonio Spurs,Western Conf First Round,1,
2009,nba,Houston Rockets,Portland Trail Blazers,Western Conf First Round,1,
2009,nba,Los Angeles Lakers,Houston Rockets,Western Conf Semifinals,2,
2009,nba,Denver Nuggets,Dallas Mavericks,Western Conf Semifinals,2,
