event_date,event_datetime,visitor_nss,visitor_team,home_team,Money Line Open Visitor,Money Line Open Home,Money Line Visitor,Money Line Home
6/15/2015 0:00,6/15/2015 20:15,11,Tampa Bay Lightning,Chicago Blackhawks,152,-169,137,-151
6/15/2015 0:00,6/15/2015 20:15,1011,Tampa Bay Lightning,Chicago Blackhawks,137,-152,125,-138
6/13/2015 0:00,6/13/2015 20:15,9,Chicago Blackhawks,Tampa Bay Lightning,109,-120,106,-117
6/13/2015 0:00,6/13/2015 20:15,1009,Chicago Blackhawks,Tampa Bay Lightning,103,-114,106,-117
6/10/2015 0:00,6/10/2015 20:05,7,Tampa Bay Lightning,Chicago Blackhawks,136,-150,162,-180
6/10/2015 0:00,6/10/2015 20:05,1007,Tampa Bay Lightning,Chicago Blackhawks,122,-135,140,-155
6/8/2015 0:00,6/8/2015 20:05,5,Tampa Bay Lightning,Chicago Blackhawks,133,-147,144,-159
6/8/2015 0:00,6/8/2015 20:05,1005,Tampa Bay Lightning,Chicago Blackhawks,125,-138,127,-140
6/6/2015 0:00,6/6/2015 19:15,3,Chicago Blackhawks,Tampa Bay Lightning,113,-125,122,-135
6/6/2015 0:00,6/6/2015 19:15,1003,Chicago Blackhawks,Tampa Bay Lightning,107,-118,117,-129
6/3/2015 0:00,6/3/2015 20:05,1,Chicago Blackhawks,Tampa Bay Lightning,105,-116,117,-129
6/3/2015 0:00,6/3/2015 20:05,1001,Chicago Blackhawks,Tampa Bay Lightning,102,-113,109,-120
5/30/2015 0:00,5/30/2015 20:05,77,Chicago Blackhawks,Anaheim Ducks,118,-130,115,-127
5/30/2015 0:00,5/30/2015 20:05,1077,Chicago Blackhawks,Anaheim Ducks,110,-121,111,-123
,,,,,,,,
5/29/2015 0:00,5/29/2015 20:05,75,Tampa Bay Lightning,New York Rangers,130,-144,140,-155
5/29/2015 0:00,5/29/2015 20:05,1075,Tampa Bay Lightning,New York Rangers,122,-135,130,-144
5/27/2015 0:00,5/27/2015 20:05,73,Anaheim Ducks,Chicago Blackhawks,127,-140,135,-149
5/27/2015 0:00,5/27/2015 20:05,1073,Anaheim Ducks,Chicago Blackhawks,120,-133,120,-133
,C Crawford,,,,,,,
5/26/2015 0:00,5/26/2015 20:05,71,New York Rangers,Tampa Bay Lightning,118,-130,122,-135
5/26/2015 0:00,5/26/2015 20:05,1071,New York Rangers,Tampa Bay Lightning,110,-121,116,-128
5/25/2015 0:00,5/25/2015 21:05,69,Chicago Blackhawks,Anaheim Ducks,117,-129,129,-143
5/25/2015 0:00,5/25/2015 21:05,1069,Chicago Blackhawks,Anaheim Ducks,112,-124,125,-138
,,,,,,,,
5/24/2015 0:00,5/24/2015 20:05,67,Tampa Bay Lightning,New York Rangers,122,-135,132,-146
5/24/2015 0:00,5/24/2015 20:05,1067,Tampa Bay Lightning,New York Rangers,115,-127,130,-144
5/23/2015 0:00,5/23/2015 20:05,65,Anaheim Ducks,Chicago Blackhawks,133,-147,135,-149
5/23/2015 0:00,5/23/2015 20:05,1065,Anaheim Ducks,Chicago Blackhawks,121,-134,126,-139
,C Crawford,,,,,,,
5/22/2015 0:00,5/22/2015 20:05,63,New York Rangers,Tampa Bay Lightning,114,-126,126,-139
5/22/2015 0:00,5/22/2015 20:05,1063,New York Rangers,Tampa Bay Lightning,107,-118,117,-129
5/21/2015 0:00,5/21/2015 20:05,61,Anaheim Ducks,Chicago Blackhawks,118,-130,138,-153
5/21/2015 0:00,5/21/2015 20:05,1061,Anaheim Ducks,Chicago Blackhawks,111,-123,126,-139
,C Crawford,,,,,,,
5/20/2015 0:00,5/20/2015 20:05,59,New York Rangers,Tampa Bay Lightning,118,-130,118,-130
5/20/2015 0:00,5/20/2015 20:05,1059,New York Rangers,Tampa Bay Lightning,111,-123,115,-127
5/19/2015 0:00,5/19/2015 21:05,57,Chicago Blackhawks,Anaheim Ducks,122,-135,111,-123
5/19/2015 0:00,5/19/2015 21:05,1057,Chicago Blackhawks,Anaheim Ducks,113,-125,105,-116
,,,,,,,,
